a1,r1,"40.806051, -73.965824",10025,New York,NY,2895 Broadway,113th and Broadway
a2,r2,"40.807344, -73.964817",10025,New York,NY,2937 Broadway,115th and Broadway
a3,r3,"40.805962, -73.965820",10025,New York,NY,2893 Broadway,113th and Broadway
a4,r4,"40.803244, -73.966759",10025,New York,NY,258 W 109th St,109th and Broadway
a5,r5,"40.805465, -73.965391",10025,New York,NY,2880 Broadway,112th and Broadway
a6,r6,"40.805212, -73.966391",10025,New York,NY,2867 Broadway,111th and Broadway
a7,r7,"40.803227, -73.963979",10025,New York,NY,1020 Amsterdam Ave,110th and Amsterdam
a8,r8,"40.810265, -73.961835",10025,New York,NY,550 W 120th St,120th and Broadway
a9,r9,"40.806901, -73.963661",10027,New York,NY,2920 Broadway,114th and Broadway
a10,r10,"40.805892, -73.962419",10027,New York,NY,511 W. 114th Street,114th and Amsterdam
